codeId		tcode		tablename					中文									英文														同义词	
DYH001		DYH001		农副产品零售价格					农副产品零售价格									AgriculturalRetail														"农副产品零售价格,零售价格"	
DYAR1001		DYH001		农副产品零售价格					小包装大米零售价格									SmallPackageOfRiceRetailPrices														小包装大米零售价格	
DYAR1002		DYH001		农副产品零售价格					小包装面粉零售价格									SmallPackingFlourRetailPrices														小包装面粉零售价格	
DYAR1003		DYH001		农副产品零售价格					豆油零售价格									SoybeanOilRetailPrices														豆油零售价格	
DYAR1004		DYH001		农副产品零售价格					花生油零售价格									PeanutOilRetailPrices														花生油零售价格	
DYAR1005		DYH001		农副产品零售价格					菜籽油零售价格									RapeseedOilRetailPrices														菜籽油零售价格	
DYAR1006		DYH001		农副产品零售价格					调和油零售价格									CookingOilRetailPrices														调和油零售价格	
DYAR1007		DYH001		农副产品零售价格					鲜猪肉零售价格									TheRetailPriceOfFreshPork														鲜猪肉零售价格	
DYAR1008		DYH001		农副产品零售价格					鲜牛肉零售价格									FreshBeefRetailPrice														鲜牛肉零售价格	
DYAR1009		DYH001		农副产品零售价格					鲜羊肉零售价格									FreshLambRetailPrice														鲜羊肉零售价格	
DYAR1010		DYH001		农副产品零售价格					鸡蛋零售价格									RetailPriceOfEggs														鸡蛋零售价格	
DYAR1011		DYH001		农副产品零售价格					白砂糖零售价格									RetailPriceOfSugar														白砂糖零售价格	
DYAR1012		DYH001		农副产品零售价格					圆白菜零售价格									CabbageRetailPrice														圆白菜零售价格	
DYAR1013		DYH001		农副产品零售价格					油菜零售价格									RapeseedRetailPrice														油菜零售价格	
DYAR1014		DYH001		农副产品零售价格					芹菜零售价格									CeleryRetailPrice														芹菜零售价格	
DYAR1015		DYH001		农副产品零售价格					生菜零售价格									LettuceRetailPrice														生菜零售价格	
DYAR1016		DYH001		农副产品零售价格					大白菜零售价格									RetailPriceOfChineseCabbage														大白菜零售价格	
DYAR1017		DYH001		农副产品零售价格					白萝卜零售价格									WhiteRadishRetailPrice														白萝卜零售价格	
DYAR1018		DYH001		农副产品零售价格					土豆零售价格									PotatoesRetailPrice														土豆零售价格	
DYAR1019		DYH001		农副产品零售价格					洋葱零售价格									OnionRetailPrices														洋葱零售价格	
DYAR1020		DYH001		农副产品零售价格					蒜头零售价格									GarlicRetailPrice														蒜头零售价格	
DYAR1021		DYH001		农副产品零售价格					生姜零售价格									GingerRetailPrice														生姜零售价格	
